,City,Var,Period,Phase,D-Type,T-Type,Winter,Spring,Summer,Fall
0,NEW YORK CITY,TMIN,0,0,0,1,3.2174353516330867,2.3474715061051445,4.283457417627279,3.8579526638522474
1,NEW YORK CITY,TMIN,1,0,0,1,1.053597311793567,1.883773080481016,1.846573666518423,2.174659954228783
2,NEW YORK CITY,TMIN,2,0,0,1,0.9906647344060507,1.6285972585099868,1.6822094289116862,1.5670940518383596
3,NEW YORK CITY,TMIN,3,0,0,1,1.012102767734744,1.2511431102874289,1.5420790436401228,1.3415058545428848
4,NEW YORK CITY,TMIN,4,0,0,1,0.94104395360424,1.1365886214117118,1.2246607499610926,1.1746520718699889
5,NEW YORK CITY,TMIN,5,0,0,1,0.932156141870359,1.0727056397832426,1.1772250995419924,1.0283041764834062
6,NEW YORK CITY,TMIN,6,0,0,1,0.8377652872510793,1.0784106690690256,1.102848088202485,1.0580733735855155
7,NEW YORK CITY,TMIN,7,0,0,1,0.8061782811819663,1.0294526448856853,0.9832067631300075,1.0469495978986123
8,NEW YORK CITY,TMIN,8,0,0,1,0.7839319014633329,0.9405340040203379,0.8620342912493433,0.9361981669553324
9,NEW YORK CITY,TMIN,9,0,0,1,0.7867157565698003,0.8899284499959551,0.8312270889350293,0.9030291670606007
10,NEW YORK CITY,TMIN,10,0,0,1,0.8260302340291176,0.9509373492221499,0.8226925997086297,0.940675873825117
11,NEW YORK CITY,TMIN,11,0,0,1,0.726018814907747,0.8573926674627117,0.8064547907494098,0.8621537189522571
12,NEW YORK CITY,TMIN,12,0,0,1,0.6737178842087593,0.8589603296856384,0.7516866217470296,0.8714857952981342
13,NEW YORK CITY,TMIN,13,0,0,1,0.6836484782181023,0.8414581759100143,0.9761092811123521,0.8950111430090445
14,NEW YORK CITY,TMIN,14,0,0,1,0.6689186241176276,0.8306136418513684,0.8661723936264784,0.841986910451371
15,NEW YORK CITY,TMIN,15,0,0,1,0.7052096547357422,0.7692901672531876,0.7076011092929945,0.7923374456542142
16,NEW YORK CITY,TMIN,16,0,0,1,0.625902406270252,0.6652237709370771,0.7671755534526509,0.779875031891384
17,NEW YORK CITY,TMIN,17,0,0,1,0.6726967056460381,0.7491863460852778,1.0188554065588804,0.8380167027471237
18,NEW YORK CITY,TMIN,18,0,0,1,0.7524100248598998,0.8283673790006517,0.6735573612285406,0.7038359153381061
19,NEW YORK CITY,TMIN,19,0,0,1,0.5971615792755145,0.6632600056381747,0.6275946356328972,0.6726530089355985
20,NEW YORK CITY,TMIN,20,0,0,1,0.6437454315814422,0.9526309413909507,0.6555795880519155,0.6604531579318689
21,NEW YORK CITY,TMIN,21,0,0,1,0.6129632085034108,0.74680982454976,0.6188783375473319,0.6640385579023934
22,NEW YORK CITY,TMIN,22,0,0,1,0.5994591989920386,0.6019831610199521,0.5614828110615856,0.6191256143599261
23,NEW YORK CITY,TMIN,23,0,0,1,0.7826417365658176,0.9537043045772727,0.6162900900429242,0.6742612045254638
24,NEW YORK CITY,TMIN,24,0,0,1,0.6230712555575514,0.8917722868434881,0.8315418404280601,0.7361096095606507
25,NEW YORK CITY,TMIN,25,0,0,1,0.6213582992350987,0.7467757570632833,0.6087523989239577,0.5850538546350749
26,NEW YORK CITY,TMIN,26,0,0,1,0.5964405713272265,0.7594153212902466,0.6323318221626583,0.7349572869415582
27,NEW YORK CITY,TMIN,27,0,0,1,0.5552097784188678,0.7097341321382676,1.095386633151987,0.8244922366555535
28,NEW YORK CITY,TMIN,28,0,0,1,0.5048608789027398,0.6249182093925771,0.7151906880756741,0.6631341221086902
29,NEW YORK CITY,TMIN,29,0,0,1,0.5220158118044863,0.6011886081334139,0.7036665419903182,0.6111970374385445
30,NEW YORK CITY,TMIN,30,0,0,1,0.6482000388133695,0.934668561992777,0.8299697315307067,0.7713672685343061
31,NEW YORK CITY,TMIN,31,0,0,1,0.48887551784146605,0.6542582118580113,0.694330413066046,0.6165581399321701
32,NEW YORK CITY,TMIN,32,0,0,1,0.6522053394154566,0.9278296182007936,1.0614485939166713,0.9675046372670485
33,NEW YORK CITY,TMIN,33,0,0,1,0.49753477121494477,0.6105512263587842,0.5903186005157629,0.5721046107326727
34,NEW YORK CITY,TMIN,34,0,0,1,0.5391389606264184,0.6819543630639436,0.6863450338021687,0.5912011632671939
35,NEW YORK CITY,TMIN,35,0,0,1,0.5233992969124619,0.6714660777380281,0.7268413921330127,0.6554052466173211
36,NEW YORK CITY,TMIN,36,0,0,1,0.549430674590519,0.5474607216915895,0.6824296163734838,0.6440404494251623
37,NEW YORK CITY,TMAX,0,0,0,1,3.436822226529267,1.9283605019694576,3.893196820690472,3.6965984448759435
38,NEW YORK CITY,TMAX,1,0,0,1,1.1370202056088534,1.6944510053903687,1.5940941087891929,2.1764898546896476
39,NEW YORK CITY,TMAX,2,0,0,1,1.0139849553986722,1.365375294516289,1.5567659290582885,1.5596314778263538
40,NEW YORK CITY,TMAX,3,0,0,1,0.9623383392349599,1.086866182367879,1.3510064371404205,1.341229855839707
41,NEW YORK CITY,TMAX,4,0,0,1,0.9613536442898512,1.1108558866585816,1.2727627832370796,1.1706760281042072
42,NEW YORK CITY,TMAX,5,0,0,1,0.916535834769753,1.123142318533912,1.2359905365316768,1.0773009486984633
43,NEW YORK CITY,TMAX,6,0,0,1,0.8367062620229749,1.0997205926041564,1.083354465726994,1.0528695208124477
44,NEW YORK CITY,TMAX,7,0,0,1,0.795897145258468,1.0840752006349967,1.2930362413393162,1.1388424458559638
45,NEW YORK CITY,TMAX,8,0,0,1,0.8321056288246805,0.9402401764955727,1.1041330269479268,0.9663670190894648
46,NEW YORK CITY,TMAX,9,0,0,1,0.8107216551302073,0.9398509783047837,1.0575130347453432,0.903175662103711
47,NEW YORK CITY,TMAX,10,0,0,1,0.7502843928742675,0.8721848649772322,1.0121503210337865,0.9157153377244428
48,NEW YORK CITY,TMAX,11,0,0,1,0.7515054358098596,0.8789703469385636,0.8635207509632551,0.8678299688908814
49,NEW YORK CITY,TMAX,12,0,0,1,0.6511475812425633,0.8497832689529695,0.8320548803238582,0.7820910233200958
50,NEW YORK CITY,TMAX,13,0,0,1,0.6614150290683253,0.875948661091782,0.8945697622405473,0.8313268099528127
51,NEW YORK CITY,TMAX,14,0,0,1,0.6651063268092171,0.7330242911779618,0.8914571436182778,0.8082659242564292
52,NEW YORK CITY,TMAX,15,0,0,1,0.6536091895983039,0.6857487570087425,0.6822040326727911,0.7856079897862602
53,NEW YORK CITY,TMAX,16,0,0,1,0.6990838853607094,0.7683501661182444,0.851442947588346,0.8345037161037309
54,NEW YORK CITY,TMAX,17,0,0,1,0.7267429789206338,0.790395254834361,0.8933232058837225,0.8495025812883433
55,NEW YORK CITY,TMAX,18,0,0,1,0.715586801794129,0.8814477524667526,1.352475398156571,1.0538227543904255
56,NEW YORK CITY,TMAX,19,0,0,1,0.6230117471556488,0.6906006693877563,0.7243459050600265,0.7720002611020055
