,City,Var,Period,Phase,Dtype,Ttype,Timer
0,DENVER,TMIN,0,0,0,2,18.408567100000003
1,DENVER,TMIN,1,0,0,2,16.135633300000002
2,DENVER,TMIN,2,0,0,2,16.785712699999998
3,DENVER,TMIN,3,0,0,2,20.953475400000002
4,DENVER,TMIN,4,0,0,2,16.68603669999999
5,DENVER,TMIN,5,0,0,2,17.074204600000016
6,DENVER,TMIN,6,0,0,2,17.881911299999985
7,DENVER,TMIN,7,0,0,2,18.803701999999987
8,DENVER,TMIN,8,0,0,2,20.775645400000002
9,DENVER,TMIN,9,0,0,2,17.971676900000006
10,DENVER,TMIN,10,0,0,2,17.817833999999976
11,DENVER,TMIN,11,0,0,2,20.414479099999994
12,DENVER,TMIN,12,0,0,2,17.779847400000023
13,DENVER,TMIN,13,0,0,2,19.76616949999999
14,DENVER,TMIN,14,0,0,2,18.41349680000002
15,DENVER,TMIN,15,0,0,2,18.15072729999997
16,DENVER,TMIN,16,0,0,2,18.384939099999997
17,DENVER,TMIN,17,0,0,2,19.262863200000027
18,DENVER,TMIN,18,0,0,2,18.599163399999952
19,DENVER,TMIN,19,0,0,2,19.03429940000001
20,DENVER,TMIN,20,0,0,2,18.837184800000045
21,DENVER,TMIN,21,0,0,2,18.907565800000043
22,DENVER,TMIN,22,0,0,2,19.313840900000002
23,DENVER,TMIN,23,0,0,2,19.08937199999997
24,DENVER,TMIN,24,0,0,2,19.604460000000017
25,DENVER,TMIN,25,0,0,2,19.22617729999996
26,DENVER,TMIN,26,0,0,2,21.103276799999946
27,DENVER,TMIN,27,0,0,2,20.718605199999956
28,DENVER,TMIN,28,0,0,2,20.26153970000007
29,DENVER,TMIN,29,0,0,2,21.949233100000015
30,DENVER,TMIN,30,0,0,2,21.18754970000009
31,DENVER,TMIN,31,0,0,2,21.125898599999914
32,DENVER,TMIN,32,0,0,2,21.987337600000046
33,DENVER,TMIN,33,0,0,2,21.63928659999999
34,DENVER,TMIN,34,0,0,2,21.818462000000068
35,DENVER,TMIN,35,0,0,2,21.986463200000003
36,DENVER,TMIN,36,0,0,2,22.250110199999995
37,DENVER,TMAX,0,0,0,2,21.751581400000077
38,DENVER,TMAX,1,0,0,2,22.70597710000004
39,DENVER,TMAX,2,0,0,2,22.542785800000047
40,DENVER,TMAX,3,0,0,2,22.492020199999956
41,DENVER,TMAX,4,0,0,2,23.007978800000046
42,DENVER,TMAX,5,0,0,2,22.947184799999945
43,DENVER,TMAX,6,0,0,2,24.13416910000001
44,DENVER,TMAX,7,0,0,2,22.941341299999976
45,DENVER,TMAX,8,0,0,2,23.325944700000036
46,DENVER,TMAX,9,0,0,2,28.214728000000036
47,DENVER,TMAX,10,0,0,2,31.166254600000002
48,DENVER,TMAX,11,0,0,2,29.18849119999993
49,DENVER,TMAX,12,0,0,2,31.7544441
50,DENVER,TMAX,13,0,0,2,30.245796200000086
51,DENVER,TMAX,14,0,0,2,24.203188400000045
52,DENVER,TMAX,15,0,0,2,25.19970710000007
53,DENVER,TMAX,16,0,0,2,25.253206599999885
54,DENVER,TMAX,17,0,0,2,25.097210399999994
55,DENVER,TMAX,18,0,0,2,25.351899699999876
56,DENVER,TMAX,19,0,0,2,24.803237399999944
57,DENVER,TMAX,20,0,0,2,25.128373799999963
58,DENVER,TMAX,21,0,0,2,25.71553610000001
59,DENVER,TMAX,22,0,0,2,26.000172999999904
60,DENVER,TMAX,23,0,0,2,25.768195099999957
61,DENVER,TMAX,24,0,0,2,26.347508300000072
62,DENVER,TMAX,25,0,0,2,25.932549999999992
63,DENVER,TMAX,26,0,0,2,26.508355300000176
64,DENVER,TMAX,27,0,0,2,27.311041499999874
65,DENVER,TMAX,28,0,0,2,27.783352799999875
66,DENVER,TMAX,29,0,0,2,27.44956460000003
67,DENVER,TMAX,30,0,0,2,27.410179199999902
68,DENVER,TMAX,31,0,0,2,28.23254339999994
69,DENVER,TMAX,32,0,0,2,27.40528930000005
70,DENVER,TMAX,33,0,0,2,27.75344199999995
71,DENVER,TMAX,34,0,0,2,28.522420099999863
72,DENVER,TMAX,35,0,0,2,28.190730499999972
73,DENVER,TMAX,36,0,0,2,28.35557390000008
